Date,Academic_Break,Closed,Fully_Open,Partially_Open,Total
2020-06-23,34,94,39,43,210
2020-06-24,34,92,39,45,210
2020-06-25,34,91,39,46,210
2020-06-26,34,91,39,46,210
2020-06-27,39,89,38,44,210
2020-06-28,39,89,38,44,210
2020-06-29,40,87,40,43,210
2020-06-30,41,85,40,44,210
2020-07-01,116,45,24,25,210
2020-07-02,117,45,23,25,210
2020-07-03,118,45,22,25,210
2020-07-04,123,43,19,25,210
2020-07-05,123,43,19,25,210
2020-07-06,122,42,20,26,210
2020-07-07,122,42,20,26,210
2020-07-08,122,42,20,26,210
2020-07-09,122,42,20,26,210
2020-07-10,122,42,20,26,210
2020-07-11,123,43,19,25,210
2020-07-12,122,44,19,25,210
2020-07-13,121,43,21,25,210
2020-07-14,121,42,21,26,210
2020-07-15,121,41,21,27,210
2020-07-16,121,41,21,27,210
2020-07-17,121,41,21,27,210
2020-07-18,122,40,21,27,210
2020-07-19,123,39,21,27,210
2020-07-20,122,37,22,29,210
2020-07-21,122,36,22,30,210
2020-07-22,122,36,23,29,210
2020-07-23,122,36,23,29,210
2020-07-24,122,36,23,29,210
2020-07-25,124,36,23,27,210
2020-07-26,124,36,23,27,210
2020-07-27,125,37,24,24,210
2020-07-28,124,38,24,24,210
2020-07-29,125,37,24,24,210
2020-07-30,125,37,24,24,210
2020-07-31,129,34,24,23,210
2020-08-01,146,29,19,16,210
2020-08-02,146,29,19,16,210
2020-08-03,145,29,21,15,210
2020-08-04,145,30,20,15,210
2020-08-05,144,30,20,16,210
2020-08-06,144,30,20,16,210
2020-08-07,146,29,20,15,210
2020-08-08,146,30,20,14,210
2020-08-09,146,30,20,14,210
2020-08-10,139,29,25,17,210
2020-08-11,138,30,25,17,210
2020-08-12,137,30,24,19,210
2020-08-13,135,30,26,19,210
2020-08-14,135,29,27,19,210
2020-08-15,134,28,29,19,210
2020-08-16,134,28,29,19,210
2020-08-17,123,29,36,22,210
2020-08-18,123,29,36,22,210
2020-08-19,124,29,37,20,210
2020-08-20,124,29,38,19,210
2020-08-21,125,28,38,19,210
2020-08-22,125,27,38,20,210
2020-08-23,125,27,38,20,210
2020-08-24,122,27,41,20,210
2020-08-25,121,27,41,21,210
2020-08-26,120,27,41,22,210
2020-08-27,120,28,41,21,210
2020-08-28,120,29,41,20,210
